 Barret	Speaker	BarretThe planet's dyin', Cloud!	Cloud	Referent
 Barret	Speaker	BarretTifa! Cloud! You came!Be careful! They're attacking from the helicopter.	Tifa	Referent
 Barret	Speaker	BarretTifa! Cloud! You came!Be careful! They're attacking from the helicopter.	Cloud	Referent
 Barret	Speaker	BarretNo, Tifa!That ain't it! Hell no!!It ain't us! It's the damn Shinra! It's never been nobody but the Shinra!They're evil and destroyin' our planet just to...build their power and line their own damn pockets with gold!If we don't get rid of them, they're gonna kill this planet!Our fight ain't never gonna be over until we get rid of them!!	Tifa	Referent
 Barret	Speaker	BarretTifa. There ain't no turnin' back now.	Tifa	Referent
 Barret	Speaker	BarretI been here since the beginnin', an' I still don't know what the hell's goin' on either.Cloud, the hell's goin' on? C'mon, tell us!	Cloud	Referent
 Barret	Speaker	BarretYo, Cloud. You still up?	Cloud	Referent
 Barret	Speaker	BarretCloud, wanna take a peek?	Cloud	Referent
 Barret	Speaker	BarretOh man, there just ain't no choice!Tifa, Aerith.Ah, Yuffie?	Tifa	Referent
 Barret	Speaker	BarretOh man, there just ain't no choice!Tifa, Aerith.Ah, Yuffie?	Aerith	Referent
 Barret	Speaker	BarretOh man, there just ain't no choice!Tifa, Aerith.Ah, Yuffie?	Yuffie	Referent
 Barret	Speaker	Barret...it's Cait Sith. What's he doin' so quietly?	Cait Sith	Referent
 Barret	Speaker	BarretWhat're ya doin'? We're goin' after Cait Sith!	Cait Sith	Referent
 Barret	Speaker	BarretThe hell you doin'!? We gotta go after Cait Sith!	Cait Sith	Referent
 Barret	Speaker	BarretThe hell're you doin'!? We're goin' after Cait Sith!	Cait Sith	Referent
 Barret	Speaker	BarretWhacha doin!? We're goin' after Cait Sith!	Cait Sith	Referent
 Barret	Speaker	BarretWhat the hell are you doing! Let's get Cait Sith!	Cait Sith	Referent
 Barret	Speaker	BarretSorry, Cloud.	Cloud	Referent
 Barret	Speaker	BarretYo! I'm goin' too, Cloud! Gotta keep movin'!!	Cloud	Referent
 Barret	Speaker	BarretYou mus' mean Cloud......	Cloud	Referent
 Barret	Speaker	BarretCloud, it's you......	Cloud	Referent
 Barret	Speaker	BarretDon't worry. I don't know what happened to Cloud either.Guess I shouldn't tell you not to worry...None of them know if he's all right either.	Cloud	Referent
 Barret	Speaker	BarretYou ain't over it yet. Remember that huge light, in the Northern Cave?Since then, the crater's been surrounded by a huge barrier of light.Everyone knows Sephiroth sleeps in that big hole, protected by the barrier.We can't do a damn thing about it. We just gotta wait till he wakes up.An' on topa that, some huge monster called Weapon's been on a rampage.	Sephiroth	Referent
 Barret	Speaker	BarretRemember that huge monster that was with Sephiroth, at the bottom of the crater?Well it's up here now. They say it's some legendary monster from the past.	Sephiroth	Referent
 Barret	Speaker	BarretDunno. But he's up here goin' around tearin' shit up.Right now Rufus' fightin' it. I hate to say it, but he's got guts.We shoulda been the ones to destroy it, but we ain't got no time...	Rufus	Referent
 Barret	Speaker	BarretTifa! I'll help you, I promise!	Tifa	Referent
 Barret	Speaker	BarretWhy the airport? An' leave Tifa there?	Tifa	Referent
 Barret	Speaker	BarretDammit! Why didn't ya tell me you could fly an airship!?I thought...... Tifa was gone for good.	Tifa	Referent
 Barret	Speaker	BarretGet a hold of yourself Tifa! C'mon, let's think about this!No way we can get offa this train we're on!	Tifa	Referent
 Barret	Speaker	BarretTifa! When'd you become such a wimp!	Tifa	Referent
 Barret	Speaker	BarretWhat? Does Cloud always gotta be around?.......We did fine without him in the beginning......Right? An' what happened to tough girl I used to know? Where'd she go to?	Cloud	Referent
 Barret	Speaker	BarretWhenever I think of Cloud, everything gets all jumbled up.No matter how powerful Shinra or Hojo is, I can't believe they can create humans.But because of them, we know that Meteor is heading towards us......Y'know, even if I saw him, I don't have a damn idea what I'd do......	Cloud	Referent
 Barret	Speaker	BarretWe're gonna help transport the Huge Materia... Reno!	Reno	Referent
 Barret	Speaker	BarretCome on, Cloud! Follow me!Damn, man!! ......what the...?Hey yo! Remember I was the leader first, man!Yo! We come a long ways since we got on that train!Lotsa things changed! This and that.	Cloud	Referent
 Barret	Speaker	BarretYo! Cid! You even got to me!Do, now what? How're we gonna protect the planet from Meteor?	Cid	Referent
 Barret	Speaker	BarretUh...!? Yo, Tifa!	Tifa	Referent
 Barret	Speaker	BarretSo what about him? You know...... Cloud?	Cloud	Referent
 Barret	Speaker	Barret......hope......Hey, but honestly, man...... Do I really want him to come back?What did he do for the world? What can he do for us from here on out? He may be nothing more than Sephiroth's shadow......	Sephiroth	Referent
 Barret	Speaker	BarretYeah, that's probably best......For Cloud...... an' for you......	Cloud	Referent
 Barret	Speaker	BarretYou take care now, Tifa. And take care of Cloud.	Tifa	Referent
 Barret	Speaker	BarretYou take care now, Tifa. And take care of Cloud.	Cloud	Referent
 Barret	Speaker	BarretOh, and uh, Tifa... I don't like askin' this but......Is he really your childhood friend? And not Sephiroth's shadow?	Tifa	Referent
 Barret	Speaker	BarretOh, and uh, Tifa... I don't like askin' this but......Is he really your childhood friend? And not Sephiroth's shadow?	Sephiroth	Referent
 Barret	Speaker	BarretWhat're we gonna do now! What can WE do?Huh? Ain't there nothin' we can do?An' don' go tellin' us to wait for Cloud to get better.	Cloud	Referent
 Barret	Speaker	BarretCan't let Shinra get a hold of the Huge Materia!Besides, when Cloud gets back, I wanna show him this Huge Materia. He's gonna be shocked.	Cloud	Referent
 Barret	Speaker	BarretYo, Cid!When you're ready, we're headin' for the Corel Reactor. C'mon Mr. leader, you'd better hurry.	Cid	Referent
 Barret	Speaker	BarretYo! You awright!? Tifa!?	Tifa	Referent
 Barret	Speaker	BarretYo, Tifa! Snap outta it!!Tifa......!?	Tifa	Referent
 Barret	Speaker	BarretC'mon, Cloud! Don't #&$* around!We're goin' to Junon, boyeee!!	Cloud	Referent
 Barret	Speaker	BarretWhen AVALANCHE was jes startin', we used to put up flyers everywhere.And now, we're up against Sephiroth. How about that?Feels like a long time ago.	Sephiroth	Referent
 Barret	Speaker	BarretYo, Cait Sith! Now what?	Cait Sith	Referent
 Barret	Speaker	BarretThis ain't no good with just us! Cloud, we gotta get some others in here.	Cloud	Referent
 Barret	Speaker	BarretAnd Aerith... she's dead.Guess she turned into spiritual energy and returned to the planet, huh?But even if she did, there's no way we'll meet her again...	Aerith	Referent
 Barret	Speaker	BarretSephiroth...... What a damn crazy #*&^%.	Sephiroth	Referent
 Barret	Speaker	BarretThat ain't Cloud... The hell is he?	Cloud	Referent
 Barret	Speaker	BarretAre Cloud and the others awright?But what's up with that? One little piece of materia, destroying the planet...	Cloud	Referent
 Barret	Speaker	BarretTifa!!Something's weird here! It got pitch black all of a sudden, and everyone disappeared!	Tifa	Referent
 Barret	Speaker	BarretYo! Cloud! Stop! Knock it off!	Cloud	Referent
 Barret	Speaker	BarretHere, Cloud.	Cloud	Referent
 Barret	Speaker	BarretOh yeah, Yuffie, didn't you find somethin'?	Yuffie	Referent
 Barret	Speaker	BarretCloud! You go first!	Cloud	Referent
 Barret	Speaker	BarretCloud! Hurry up and make up your mind!	Cloud	Referent
 Barret	Speaker	BarretUgh...! Is this...... the true power of Sephiroth?	Sephiroth	Referent
 Barret	Speaker	BarretNot only Aerith...Holy is the prayer of AVALANCHE...of Marlene and Dyne... And everyone on the planet!	Aerith	Referent
 Biggs	Speaker	BiggsCloud, eh? I'm...	Cloud	Referent
 Biggs	Speaker	BiggsCloud...... Wonder if he was killed?	Cloud	Referent
 Biggs	Speaker	BiggsSay, do you think Cloud's......Going to fight to the end for AVALANCHE!?	Cloud	Referent
 Biggs	Speaker	BiggsCloud!!	Cloud	Referent
 Biggs	Speaker	BiggsHeh heh...... Cloud! We'll do even better next time.	Cloud	Referent
 Biggs	Speaker	Biggs...snore... heebeebeeheebee... snore... (Don't act so damn big, Barret... snooze...)	Barret	Referent
 Biggs	Speaker	BiggsWe're gonna pull out now. We'll meet up at the hideout.Cloud, we're countin' on you to blow the reactor!	Cloud	Referent
 Biggs	Speaker	BiggsHic...!!Oh...... Don't tell Barret what I just said.	Barret	Referent
 Biggs	Speaker	BiggsCloud... so you don't care... what happens... to the... Planet?	Cloud	Referent
 Biggs	Speaker	BiggsThanks, Cloud....don't worry 'bout me...... Barret's... fighting up there. Go help him...	Cloud	Referent
 Biggs	Speaker	BiggsThanks, Cloud....don't worry 'bout me...... Barret's... fighting up there. Go help him...	Barret	Referent
 Jessie	Speaker	JessieCloud......	Cloud	Referent
 Jessie	Speaker	JessieCloud......	Cloud	Referent
 Jessie	Speaker	JessieHey, Cloud. You want to look at this with me?It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.I like this kinda stuff. Bombs and monitors... you know, flashy stuff.Okay, it's about to start.This is a complete model of the city of Midgar.It's about a 1/10000 scale.The top plate is about 50 meters above ground.A main support structure holds the plate up in the center, and there are other support structures built in each section...psst... whisper... whisper (The No. 1 Reactor we blew up was in the northern section.)Then there's No. 2, No. 3 all the way up to the No. 8 Reactor.The 8 Reactors provide Midgar with electricity.Each town used to have a name, but no one in Midgar remembers them.Instead of names, we refer to them by numbered sectors. That's the kind of place this is.Phew..., this is next! Look.This is the route this train is on.The route spirals around the main support structure.We should be coming around the center area, right now.At each checkpoint, an ID sensor device is set up.It can check the identities and backgrounds on each and every passenger on the train by linking it up to the central data bank at Shinra headquarters.whisper... whisper... (Anyone could tell that we look suspicious, so we're using fake ID's.)	Cloud	Referent
 Jessie	Speaker	JessieIt's me, Jessie. How do I look, Cloud?Do I look good in a Shinra uniform?	Cloud	Referent
 Jessie	Speaker	JessieMoney...Oh my. It must have been for a lot of it.Sure! Well, what the hell? It's a verbal agreement. Now let me figure this out.Oh stop it, Cloud! Did you hear me?	Cloud	Referent
 Jessie	Speaker	Jessie...Cloud... I'm glad...... I could talk with you... one last time.	Cloud	Referent
 Cloud	Speaker	Cloud...Cloud.	Cloud	Referent
 Cloud	Speaker	CloudBarret, be careful!Attack when its tails upIt's gonna counter with its laser!	Barret	Referent
 Cloud	Speaker	CloudHuh? Hey, back there......Tifa!?	Tifa	Referent
 Cloud	Speaker	Cloud- You know a girl named Tifa?- This place doesn't interest me.	Tifa	Referent
 Cloud	Speaker	You know a girl named Tifa?	Tifa	Referent
 Cloud	Speaker	CloudAerith! I can't......	Aerith	Referent
 Cloud	Speaker	CloudThis is SOME underwear... I'm supposed to wear this...?Well, if it's to save Tifa... I guess there's no way around.	Tifa	Referent
 Cloud	Speaker	Cloud...'like you'? Aerith, what did you tell him?	Aerith	Referent
 Cloud	Speaker	If Cloud wins...	Cloud	Referent
 Cloud	Speaker	If Cloud loses...	Cloud	Referent
 Cloud	Speaker	If Cloud gives her the Disinfectant...	Cloud	Referent
 Cloud	Speaker	If Cloud gives her the Digestive...	Cloud	Referent
 Cloud	Speaker	Cloud......Aerith.	Aerith	Referent
 Cloud	Speaker	CloudWhat's wrong, Aerith?	Aerith	Referent
 Cloud	Speaker	CloudHey, give me a chance to answer.I'm dressed like this...... because there was no other way to get in here.I'm all right. Aerith helped me out.	Aerith	Referent
 Cloud	Speaker	CloudTifa, explain. What are you doing in a place like this?	Tifa	Referent
 Cloud	Speaker	CloudNo, Aerith! I can't have you get involved.	Aerith	Referent
 Cloud	Speaker	CloudNo, I don't want Tifa in...	Tifa	Referent
 Cloud	Speaker	CloudAerith!!- You all right?- We gotta help Tifa!	Aerith	Referent
 Cloud	Speaker	CloudAerith!!- You all right?- We gotta help Tifa!	Tifa	Referent
 Cloud	Speaker	We gotta help Tifa!	Tifa	Referent
 Cloud	Speaker	CloudTifa!!- You all right?- We've gotta help Aerith!!	Tifa	Referent
 Cloud	Speaker	CloudTifa!!- You all right?- We've gotta help Aerith!!	Aerith	Referent
 Cloud	Speaker	We've gotta help Aerith!!	Aerith	Referent
 Cloud	Speaker	Cloud- No, only you- Yes, his name's Barret...	Barret	Referent
 Cloud	Speaker	Yes, his name's Barret	Barret	Referent
 Cloud	Speaker	Cloud- No, only you- Yes, his name's Barret...	Barret	Referent
 Cloud	Speaker	CloudOf course, Tifa.	Tifa	Referent
 Cloud	Speaker	CloudTifa...When Sephiroth and I went to Nibelheim, where were you?	Tifa	Referent
 Cloud	Speaker	CloudTifa...When Sephiroth and I went to Nibelheim, where were you?	Sephiroth	Referent
 Cloud	Speaker	If Cloud did poorly...	Cloud	Referent
 Cloud	Speaker	If Cloud did okay...	Cloud	Referent
 Cloud	Speaker	If Cloud did pretty well...	Cloud	Referent
 Cloud	Speaker	If Cloud did very well...	Cloud	Referent
 Cloud	Speaker	Cloud- Where is the City of the Ancients?- Do you know where Aerith is?- What are you doing?	Aerith	Referent
 Cloud	Speaker	Do you know where Aerith is?	Aerith	Referent
 Cloud	Speaker	CloudTseng? Of the Turks!?	Tseng	Referent
 Cloud	Speaker	CloudSephiroth? He's inside!?	Sephiroth	Referent
 Cloud	Speaker	CloudSephiroth is here, right?No matter what he thinks, it's going to end here.I'm taking him out!	Sephiroth	Referent
 Cloud	Speaker	CloudWhere are you!? Sephiroth!!	Sephiroth	Referent
 Cloud	Speaker	CloudWhere are you!? Sephiroth!!	Sephiroth	Referent
 Cloud	Speaker	CloudCloud...I'm... Cloud...How should I?	Cloud	Referent
 Cloud	Speaker	CloudSephiroth!?	Sephiroth	Referent
 Cloud	Speaker	CloudAny sign of Sephiroth?	Sephiroth	Referent
 Cloud	Speaker	CloudNo. We've got to think of a way to get it out.Because Sephiroth has lots of different flunkies.It's nothing to him to throw their lives away to get the Black Materia.This place isn't safe.	Sephiroth	Referent
 Cloud	Speaker	If Cait Sith is in the party...	Cait Sith	Referent
 Cloud	Speaker	CloudWe can't let Sephiroth get his hands on the Black Materia.And we can't let the Shinra get theirs on it either.	Sephiroth	Referent
 Cloud	Speaker	If Cait Sith is not in the party...	Cait Sith	Referent
 Cloud	Speaker	CloudWe can't let Sephiroth get his hands on the Black Materia.And we can't let the Shinra get theirs on it either.	Sephiroth	Referent
 Cloud	Speaker	CloudAs long as we have this, Sephiroth won't be able to use Meteor.	Sephiroth	Referent
 Cloud	Speaker	Cloud...I gave the Black Materia to Sephiroth...?	Sephiroth	Referent
 Cloud	Speaker	CloudAerith?	Aerith	Referent
 Cloud	Speaker	Cloud!?	Cloud	Referent
 Cloud	Speaker	Cloud...Nanaki?	Nanaki	Referent
 Cloud	Speaker	CloudWho is Nanaki?	Nanaki	Referent
 Cloud	Speaker	If Cloud and the others chose to stop...	Cloud	Referent
 Cloud	Speaker	Cloud......Tifa.	Tifa	Referent
 Cloud	Speaker	CloudCloud.	Cloud	Referent
 Cloud	Speaker	CloudSephiroth......?	Sephiroth	Referent
 Cloud	Speaker	CloudI know, Tifa......	Tifa	Referent
 Cloud	Speaker	CloudBarret...	Barret	Referent
 Cloud	Speaker	CloudYou can't get away, Yuffie.	Yuffie	Referent
 Cloud	Speaker	CloudListen, Yuffie. I don't care about the history of Wutai or your feelings.You've got our materia and I want it back... now.If you give it back now, we'll drop the whole thing.	Yuffie	Referent
 Cloud	Speaker	Cloud......Ok. Corneo took Yuffie from us.And without Yuffie, there's no way we'll get our materia back.	Yuffie	Referent
 Cloud	Speaker	CloudI don't really care! Let Yuffie and Elena go!	Yuffie	Referent
 Cloud	Speaker	CloudI don't really care! Let Yuffie and Elena go!	Elena	Referent
 Cloud	Speaker	CloudBarret...Did he really......	Barret	Referent
 Cloud	Speaker	CloudWe should find Barret before we go out into the desert.	Barret	Referent
 Cloud	Speaker	CloudSo there it is, Barret. So I guess it'll be Barret, me, and......	Barret	Referent
 Cloud	Speaker	CloudBarret!	Barret	Referent
 Cloud	Speaker	If Cloud loses the race...	Cloud	Referent
 Cloud	Speaker	If it is Cloud's 1st or 2nd loss...	Cloud	Referent
 Cloud	Speaker	If Cloud has lost 3 times...	Cloud	Referent
 Cloud	Speaker	If Cloud has lost 4 or more times...	Cloud	Referent
 Cloud	Speaker	Cloud(Hmm? The letter continues...)P.S. I just recently met Sephiroth. He must have a lot of fans with boys your age.Why don't you get his autograph? It seems he's headed toward the South of the river, towards Gongaga.Sephiroth...	Sephiroth	Referent
 Cloud	Speaker	CloudDid Sephiroth... do this......?	Sephiroth	Referent
 Cloud	Speaker	If Aerith is in the party...	Aerith	Referent
 Cloud	Speaker	If Aerith is not in the party...	Aerith	Referent
 Cloud	Speaker	CloudAerith isn't with us. She's with the others.	Aerith	Referent
 Cloud	Speaker	Cloud walks to the save point.	Cloud	Referent
 Cloud	Speaker	Cloud walks over to Yuffie.	Cloud	Referent
 Cloud	Speaker	Cloud walks over to Yuffie.	Yuffie	Referent
 Cloud	Speaker	Cloud- ......That's right.- You kiddin'?Tifa- ......That's right- No way!Cid- ......That's right- What're you sayin'!	Tifa	Referent
 Cloud	Speaker	Cloud- ......That's right.- You kiddin'?Tifa- ......That's right- No way!Cid- ......That's right- What're you sayin'!	Cid	Referent
 Cloud	Speaker	If Cloud does not have enough GP to pay.	Cloud	Referent
 Cloud	Speaker	CloudMy name's Cloud. And stop calling me boy.	Cloud	Referent
 Cloud	Speaker	If Cloud does not have enough GP to pay.	Cloud	Referent
 Cloud	Speaker	If Cloud scored 3000-4999 points...	Cloud	Referent
 Cloud	Speaker	If Cloud scored 5000+ points...	Cloud	Referent
 Cloud	Speaker	CloudThen can you tell me where a man named Sephiroth is?	Sephiroth	Referent
 Cloud	Speaker	If Cloud fed him the wrong number of nuts...	Cloud	Referent
 Cloud	Speaker	If Cloud fed him the right number of nuts...	Cloud	Referent
 Cloud	Speaker	If Cloud fed Mog the wrong number of nuts...	Cloud	Referent
 Cloud	Speaker	If Cloud fed him the right number of nuts...	Cloud	Referent
 Cloud	Speaker	CloudDid Sephiroth do this!?No... it's not him... They're all shot... Sephiroth would never use a gun...	Sephiroth	Referent
